2018rank,City,state,2018estimate,2010Census,2016 land area in sq/mi,2016 land area in km2,2016 population density in sq/mi,2016 population density in km2,rank_living_cost_index,cost_index_rate,rate_index,cost_plus_rent_index,groceries_index,restaurent_price_index,power_index
281,Hillsboro,Oregon,108389,91611,25.0,64.7,4207,1624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Waterbury,Connecticut,108093,110366,28.5,73.8,3799,1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Santa Maria,California,107408,99553,22.8,59.1,4662,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,Boulder,Colorado,107353,97385,24.8,64.,4358,1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Greeley,Colorado,107348,92889,47.8,123.8,2176,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Daly City,California,107008,101123,7.6,19.7,14009,5409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Meridian,Idaho,106804,75092,29.8,77.,3584,1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Lewisville,Texas,106586,95290,36.7,95.1,2852,1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Davie,Florida,106558,91992,34.9,90.4,2919,1127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,West Covina,California,106311,106098,16.0,41.4,6740,2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,League City,Texas,106244,83560,51.2,132.6,1992,769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,Tyler,Texas,105729,96900,56.6,146.6,1852,715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,Norwalk,California,105120,105549,9.7,5.1,10946,4226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,San Mateo,California,105025,97207,12.1,31.3,8592,3317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Green Bay,Wisconsin,104879,104057,45.4,117.6,2316,894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Wichita Falls,Texas,104576,104553,72.2,187.0,1450,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Sparks,Nevada,104246,90264,35.9,93.0,2810,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Lakewood,New Jersey,104157,92843,24.7,64.0,4079,1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Burbank,California,103695,103340,17.4,45.1,6003,2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,Rialto,California,103440,99171,22.3,57.8,4633,1789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Allen,Texas,103383,84246,27.1,70.,3715,1434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,El Cajon,California,103241,99478,14.5,37.6,7156,2763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Las Cruces,New Mexico,102926,97618,76.9,199.,1323,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Renton,Washington,102153,90927,23.4,60.6,4314,1666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Davenport,Iowa,102085,99685,62.9,162.9,1631,630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,South Ben,Indiana,101860,101168,41.4,107.,2457,949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,Vista,California,101224,93834,18.7,48.4,5436,2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Tuscaloosa,Alabama,101113,90468,71.7,185.7,1399,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,Clinton,Michigan,100800,96796,28.1,72.8,3573,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Edison,New Jersey,100693,99967,30.1,78.0,3389,1309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Woodbridge,New Jersey,100450,99585,23.3,60.3,4351,1680,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,San Angelo,Texas,100215,93200,59.9,155.1,1681,649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Kenosha,Wisconsin,100164,99218,28.0,72.5,3577,1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Vacaville,California,100154,92428,29.0,75.1,3449,1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
