2018rank,City,state,2018estimate,2010Census,2016 land area in sq/mi,2016 land area in km2,2016 population density in sq/mi,2016 population density in km2,rank_living_cost_index,cost_index_rate,rate_index,cost_plus_rent_index,groceries_index,restaurent_price_index,power_index
135,Knoxville,Tennessee,187500,178874,98.5,55.1,1891,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Worcester,Massachusetts,185877,181045,37.4,96.9,4933,1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Brownsville,Texas,183392,175023,132.5,343.,1387,536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Vancouver,Washington,183012,161791,46.9,121.5,3728,1439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Fort Lauderdale,Florida,182595,165521,34.6,89.6,5166,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Sioux Falls,South Dakota,181883,153888,75.4,195.3,2312,893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Ontario,California,181107,163924,49.9,129.,3471,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Chattanooga,Tennessee,180557,167674,143.1,370.6,1241,479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Providence,Rhode Island,179335,178042,18.4,47.7,9740,3760,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Newport News,Virginia,178626,180719,69.1,179.0,2631,1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Rancho Cucamonga,California,177751,165269,40.0,103.6,4413,1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Santa Rosa,California,177586,167815,41.3,107.0,4241,1637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Oceanside,California,176080,167086,41.3,107.0,4249,1641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Salem,Oregon,173442,154637,48.6,125.9,3445,1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Elk Grove,California,172886,153015,42.2,109.3,4022,1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Garden Grove,California,172646,170883,18.0,46.6,9714,3751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Pembroke Pines,Florida,172374,154019,33.0,85.5,5109,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Peoria,Arizona,172259,154065,175.7,455.1,934,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Eugene,Oregon,171245,156185,44.1,114.,3777,1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Corona,California,168819,152374,39.5,102.3,4222,1630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Cary,North Carolina,168160,135234,56.5,146.3,2873,1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Springfiel,Missouri,168122,159498,82.3,13.,2033,785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Fort Collins,Colorado,167830,143986,55.8,144.5,2943,1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Jackson,Mississippi,164422,173514,111.0,87.5,1524,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Alexandria,Virginia,160530,139966,15.0,38.8,10387,4010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Haywar,California,159620,144186,45.5,117.8,3493,1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Lancaster,California,159053,156633,94.3,44.,1698,656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Lakewoo,Colorado,156798,142980,42.9,111.1,3599,1390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Clarksville,Tennessee,156794,132929,98.3,54.6,1529,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Palmdale,California,156667,152750,106.0,74.5,1484,573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Salinas,California,156259,150441,23.6,61.1,6662,2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Springfiel,Massachusetts,155032,153060,31.9,82.6,4830,1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Hollywoo,Florida,154823,140768,27.3,70.7,5568,2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Pasadena,Texas,153219,149043,43.5,112.7,3525,1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Sunnyvale,California,153185,140081,22.0,57.0,6944,2681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Macon,Georgia,153095,91351,249.3,645.7,612,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Kansas City,Kansas,152958,145786,124.8,323.,1216,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Pomona,California,152361,149058,23.0,59.6,6630,2560,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Escondido,California,152213,143911,37.1,96.1,4087,1578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Killeen,Texas,149103,127921,53.5,138.6,2680,1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Naperville,Illinois,148304,141853,38.7,100.,3802,1468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Joliet,Illinois,148099,147433,64.4,166.8,2302,889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Bellevue,Washington,147599,122363,33.5,86.8,4221,1630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Rockfor,Illinois,146526,152871,63.5,164.5,2325,898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Savannah,Georgia,145862,136286,103.6,68.3,1417,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Paterson,New Jersey,145627,146199,8.4,1.8,17500,6800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Torrance,California,145182,145438,20.5,53.1,7180,2770,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Bridgeport,Connecticut,144900,144229,16.1,41.7,9064,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,McAllen,Texas,143433,129877,58.4,151.3,2435,940,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Mesquite,Texas,142816,139824,47.2,122.,3045,1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Syracuse,New York,142749,145170,25.0,64.7,5735,2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Midlan,Texas,142344,111147,74.4,192.7,1809,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Pasadena,California,141371,137122,23.0,59.6,6176,2385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Murfreesboro,Tennessee,141344,108755,55.9,144.8,2360,910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Miramar,Florida,140823,122041,29.4,76.1,4709,1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Dayton,Ohio,140640,141527,55.7,144.3,2522,974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Fullerton,California,139640,135161,22.4,58.0,6282,2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Olathe,Kansas,139605,125872,60.9,157.7,2225,859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Orange,California,139484,136416,25.4,65.8,5532,2136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Thornton,Colorado,139436,118772,35.7,92.5,3829,1478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Roseville,California,139117,118788,43.0,111.4,3085,1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Denton,Texas,138541,113383,93.4,41.9,1433,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Waco,Texas,138183,124805,89.0,30.5,1510,580,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Surprise,Arizona,138161,117517,107.9,79.5,1230,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Carrollton,Texas,136879,119097,36.3,94.0,3674,1419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,West Valley City,Utah,136401,129480,35.5,91.9,3847,1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Charleston,South Carolina,136208,120083,109.0,82.3,1233,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Warren,Michigan,134587,134056,34.4,89.1,3928,1517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Hampton,Virginia,134313,137436,51.5,133.4,2629,1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Gainesville,Florida,133857,124354,62.3,161.4,2112,815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Visalia,California,133800,124442,37.5,97.1,3495,1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Coral Springs,Florida,133507,121096,23.8,61.6,5465,2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Columbia,South Carolina,133451,129272,133.5,345.8,1006,388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Cedar Rapids,Iowa,133174,126326,70.8,183.4,1852,715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Sterling Heights,Michigan,132964,129699,36.5,94.5,3628,1401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,New Haven,Connecticut,130418,129779,18.7,48.4,6948,2683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Stamfor,Connecticut,129775,122643,37.6,97.4,3434,1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Concor,California,129688,122067,30.5,79.0,4221,1630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Kent,Washington,129618,92411,33.7,87.3,3784,1461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Santa Clara,California,129488,116468,18.4,47.7,6845,2643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Elizabeth,New Jersey,128885,124969,12.3,31.9,10459,4038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Round Rock,Texas,128739,99887,35.6,92.,3396,1311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Thousand Oaks,California,127690,126683,55.2,143.0,2335,902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Lafayette,Louisiana,126143,120623,53.8,139.3,2372,916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Athens,Georgia,125964,115452,116.4,301.5,1060,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Topeka,Kansas,125904,127473,61.5,159.3,2062,796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Simi Valley,California,125851,124237,41.5,107.5,3044,1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Fargo,North Dakota,124844,105549,49.3,127.7,2450,950,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Norman,Oklahoma,123471,110925,178.8,463.1,683,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Columbia,Missouri,123180,108500,65.0,168.3,1856,717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Abilene,Texas,122999,117063,106.7,76.4,1146,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Wilmington,North Carolina,122607,106476,51.6,133.6,2278,880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Hartfor,Connecticut,122587,124775,17.4,45.1,7083,2735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Victorville,California,122312,115903,73.3,189.8,1668,644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Pearlan,Texas,122149,91252,46.3,119.9,2453,947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
